image_url,status,price,address,city_state,description,features,badges
,,"$269,900",728 GUNA DR,728 GUNA DR,"
                    For Sale, Single-Family","['3  bedrooms', '1,553  Sqft. ($174/Sqft.)', '2  full baths', '1  story']",[]
,,"$149,900",TBD 213757 Old Sherman Rd,TBD 213757 Old Sherman Rd,"
                    For Sale, Land / Unimproved Land",['2.5   Acres'],[]
,,"$499,900",5302 Bonita Ave,5302 Bonita Ave,"
                    For Sale, Residential - Single Family","['2  bedrooms', '926  Sqft. ($540/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '1927  year built']",[]
,,"$199,900",760 Hidden Meadows Rd,760 Hidden Meadows Rd,"
                    For Sale, Lots","['304,920  Sqft. ($1/Sqft.)', '7   Acres']",[]
,,"$155,000",11610 VANCE JACKSON RD #750,11610 VANCE JACKSON RD #750,"
                    For Sale, Townhouse/Condo","['2  bedrooms', '738  Sqft. ($210/Sqft.)', '1  full baths', '2  stories']",[]
,,"$235,000",2792 FM 49,2792 FM 49,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,080  Sqft. ($218/Sqft.)', '1  full baths', '2.3   Acres', '1  story', '2015  year built']",[]
,,"$275,000",203 AZALEA WAY,203 AZALEA WAY,"
                    For Sale, Single-Family","['4  bedrooms', '1,984  Sqft. ($139/Sqft.)', '2  full baths', '1  story']",[]
,,"$199,000",13219 Emily Rd #4206,13219 Emily Rd #4206,"
                    For Sale, Residential - Condo","['2  bedrooms', '838  Sqft. ($237/Sqft.)', '1  full baths', '2.1   Acres', '2  stories', '1982  year built']",[]
,,"$649,000",4547 Aspen Glen Rd,4547 Aspen Glen Rd,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,412  Sqft. ($269/Sqft.)', '2  full baths', '0.1   Acres', '2  stories', '2001  year built']",[]
,,"$28,000",TBD W Washington Ave,TBD W Washington Ave,"
                    For Sale, Land / Unimproved Land",['0.4   Acres'],[]
,,"$230,000",5126 Crusade Dr,5126 Crusade Dr,"
                    For Sale, Single-Family","['3  bedrooms', '1,228  Sqft. ($187/Sqft.)', '2  full baths', '1  story']",[]
,,"$599,000",11216 Newport Dr,11216 Newport Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,693  Sqft. ($354/Sqft.)', '2  full baths', '0.1   Acres', '1  story', 'Private Pool', '1994  year built']",[]
,,"$91,000",3929 Oakcrest St,3929 Oakcrest St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,300  Sqft. ($70/Sqft.)', '1 full & 1  half baths', '0.2   Acres', '1  story', '1970  year built']",[]
,,"$698,000",675 Cherry Ridge,675 Cherry Ridge,"
                    For Sale, Single-Family","['3  bedrooms', '3,143  Sqft. ($222/Sqft.)', '3 full & 1  half baths', '5.2   Acres', '2  stories', 'Private Pool']",[]
,,"$299,000",13858 WONDERING OAK,13858 WONDERING OAK,"
                    For Sale, Single-Family","['3  bedrooms', '1,698  Sqft. ($176/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$299,000",223 St Marys Pl,223 St Marys Pl,"
                    For Sale, Residential - Single Family","['2  bedrooms', '937  Sqft. ($319/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1986  year built']",[]
,,"$106,000",215 Creek Xing,215 Creek Xing,"
                    For Sale, Land / Unimproved Land",['2.1   Acres'],[]
,,"$105,000",TBD S 5th St,TBD S 5th St,"
                    For Sale, Land / Unimproved Land",['0.3   Acres'],[]
,,"$326,000",227 Featherston St,227 Featherston St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,182  Sqft. ($149/Sqft.)', '2  full baths', '0.2   Acres', '2  stories', '1900  year built']",[]
,,"$220,000",109 Hawk Ridge Rd,109 Hawk Ridge Rd,"
                    For Sale, Land / Unimproved Land",['2.6   Acres'],[]
,,"$264,999",303 Ridge Hollow Trl,303 Ridge Hollow Trl,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,236  Sqft. ($214/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1998  year built']",[]
,,"$345,000",5807 Silent Meadows,5807 Silent Meadows,"
                    For Sale, Single-Family","['2  bedrooms', '2,196  Sqft. ($157/Sqft.)', '2  full baths', '1  story']",[]
,,"$410,000",8800 Tyler Dr,8800 Tyler Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,621  Sqft. ($253/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2004  year built']",[]
,,"$159,000",210 Mobile Home Alley,210 Mobile Home Alley,"
                    For Sale, Lots",['6.7   Acres'],[]
,,"$289,000",7827 ABBEY PL,7827 ABBEY PL,"
                    For Sale, Single-Family","['3  bedrooms', '1,557  Sqft. ($186/Sqft.)', '3  full baths', '1  story']",[]
,,"$415,000",3004 Frio Rd,3004 Frio Rd,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,855  Sqft. ($224/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2020  year built']",[]
,,"$799,500",4001 Tara Dr,4001 Tara Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,381  Sqft. ($236/Sqft.)', '3 full & 1  half baths', '0  lot Sqft.', '1.5  stories', 'Private Pool', '1980  year built']",[]
,,"$615,990",8411 David Ln,8411 David Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,601  Sqft. ($237/Sqft.)', '2 full & 1  half baths', '1.0   Acres', '1  story', '2023  year built']",[]
,,"$625,000",1209 Meadowlark Ln,1209 Meadowlark Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,849  Sqft. ($219/Sqft.)', '3  full baths', '0.2   Acres', '1  story', '2021  year built']",[]
,,"$450,000",504 Longhorn Dr,504 Longhorn Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,700  Sqft. ($265/Sqft.)', '2  full baths', '0.7   Acres', '1  story', 'Private Pool', '2015  year built']",[]
,,"$115,000",255 E Rampart Dr #204,255 E Rampart Dr #204,"
                    For Sale, Townhouse/Condo","['1  bedrooms', '702  Sqft. ($164/Sqft.)', '1  full baths', '2  stories']",[]
,,"$389,000",11107 Cape Primrose,11107 Cape Primrose,"
                    For Sale, Single-Family","['4  bedrooms', '2,335  Sqft. ($167/Sqft.)', '3  full baths', '1  story']",[]
,,"$939,000",8806 Woodland Pkwy,8806 Woodland Pkwy,"
                    For Sale, Single-Family","['4  bedrooms', '4,168  Sqft. ($225/Sqft.)', '3 full & 1  half baths']",[]
,,"$162,500",7174 FM 1329,7174 FM 1329,"
                    For Sale, Lots",['27.5   Acres'],[]
,,"$1,348,900",477+/- TBD FM 1597,477+/- TBD FM 1597,"
                    For Sale, Country Homes/Acreage",['477   Acres'],[]
,,"$269,900",6220 Bentwood Trl #608,6220 Bentwood Trl #608,"
                    For Sale, Residential - Townhouse","['2  bedrooms', '882  Sqft. ($306/Sqft.)', '2  full baths', '1   Acres', '2  stories', 'Private Pool', '1984  year built']",[]
,,"$249,000",10374 Rustic Village,10374 Rustic Village,"
                    For Sale, Single-Family","['3  bedrooms', '1,513  Sqft. ($165/Sqft.)', '2  full baths', '1  story']",[]
,,"$265,000",12219 Cleveland Gibbs Rd,12219 Cleveland Gibbs Rd,"
                    For Sale, Residential - Mobile","['1,064  Sqft. ($249/Sqft.)', '0.9   Acres', '1  story', '1972  year built']",[]
,,"$330,000",3004 River Bend Rd,3004 River Bend Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,655  Sqft. ($199/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1977  year built']",[]
,,"$499,000",122 Angus Ct,122 Angus Ct,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,018  Sqft. ($247/Sqft.)', '2  full baths', '1.5   Acres', '1  story', '2018  year built']",[]
,,"$376,999",103 Mesa Verde Ct,103 Mesa Verde Ct,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,116  Sqft. ($178/Sqft.)', '2  full baths', '0.3   Acres', '1  story', '2019  year built']",[]
,,"$280,000",333 Shoreline Dr,333 Shoreline Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,529  Sqft. ($183/Sqft.)', '1 full & 1  half baths', '0.4   Acres', '1  story', '1971  year built']",[]
,,"$325,000",1204 E Timberview Ln,1204 E Timberview Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,140  Sqft. ($285/Sqft.)', '2  full baths', '0.2   Acres', '3  stories', '1968  year built']",[]
,,"$349,500",124 Newsom Dr,124 Newsom Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,065  Sqft. ($169/Sqft.)', '3  full baths', '0.1   Acres', '1  story', '2021  year built']",[]
,,"$140,000",203 N 6th St,203 N 6th St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,296  Sqft. ($108/Sqft.)', '1 full & 1  half baths', '0.3   Acres', '1  story', '1969  year built']",[]
,,"$760,000",1541 Devotion Row,1541 Devotion Row,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,966  Sqft. ($192/Sqft.)', '4  full baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$325,000",9452 Sundrop Valley,9452 Sundrop Valley,"
                    For Sale, Single-Family","['2  bedrooms', '1,819  Sqft. ($179/Sqft.)', '2 full & 1  half baths', '1  story']",[]
,,"$285,000",1292 FM 1365,1292 FM 1365,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,560  Sqft. ($183/Sqft.)', '2  full baths', '5.0   Acres', '1  story', 'Private Pool', '1992  year built']",[]
,,"$250,500",5430 MOREVILLE FARM,5430 MOREVILLE FARM,"
                    For Sale, Single-Family","['4  bedrooms', '2,245  Sqft. ($112/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$260,000",1400 Crestridge Dr,1400 Crestridge Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,553  Sqft. ($167/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1958  year built']",[]
,,"$425,000",1638 Glenhill Ln,1638 Glenhill Ln,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,688  Sqft. ($252/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1976  year built']",[]
,,"$119,000",2670 CAMPESTRES,2670 CAMPESTRES,"
                    For Sale, Lots","['44,431  Sqft. ($3/Sqft.)', '1.0   Acres']",[]
,,"$115,000",TBD Lighthouse Dr,TBD Lighthouse Dr,"
                    For Sale, Land / Unimproved Land",['6.2   Acres'],[]
,,"$1,475,000",3670 Asbury St,3670 Asbury St,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,230  Sqft. ($457/Sqft.)', '3 full & 1  half baths', '0.1   Acres', '2  stories', '2001  year built']",[]
,,"$707,000",30595 Deerfield Terrace,30595 Deerfield Terrace,"
                    For Sale, Single-Family","['4  bedrooms', '2,473  Sqft. ($286/Sqft.)', '3  full baths', '1  story']",[]
,,"$250,000",5713 Walraven Cir,5713 Walraven Cir,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,230  Sqft. ($203/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1959  year built']",[]
,,"$250,000",9328 Teagarden Rd,9328 Teagarden Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,113  Sqft. ($225/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1998  year built']",[]
,,"$304,900",5141 Gold Basin Rd,5141 Gold Basin Rd,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,106  Sqft. ($145/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2004  year built']",[]
,,"$450,000",3504 Darion Ln,3504 Darion Ln,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,046  Sqft. ($220/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1984  year built']",[]
,,"$636,060",2429 Yosemite Way,2429 Yosemite Way,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,978  Sqft. ($160/Sqft.)', '3 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$298,000",5461 LOST LN,5461 LOST LN,"
                    For Sale, Lots",['0.9   Acres'],[]
,,"$449,900",813 Stamps Ave,813 Stamps Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,473  Sqft. ($182/Sqft.)', '3  full baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$510,000",TBD Loving Rd,TBD Loving Rd,"
                    For Sale, Land / Unimproved Land",['46.9   Acres'],[]
,,"$375,000",168 BAKER ST,168 BAKER ST,"
                    For Sale, Single-Family","['3  bedrooms', '1,616  Sqft. ($232/Sqft.)', '2  full baths', '1  story']",[]
,,"$572,949",2424 Yosemite Way,2424 Yosemite Way,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,065  Sqft. ($187/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$79,500",Lot 17 Rio Paluxy SW Barnard St,Lot 17 Rio Paluxy SW Barnard St,"
                    For Sale, Land / Unimproved Land",['0.4   Acres'],[]
,,"$499,000",1513 Starr Ct,1513 Starr Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,275  Sqft. ($152/Sqft.)', '3  full baths', '0.3   Acres', '2  stories', '2017  year built']",[]
,,"$570,840",2425 Yosemite Way,2425 Yosemite Way,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,038  Sqft. ($188/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$129,000",Lots 16 & 17 Rio Paluxy SW Barnard St,Lots 16 & 17 Rio Paluxy SW Barnard St,"
                    For Sale, Land / Unimproved Land",['0.7   Acres'],[]
,,"$199,999",2968 County Road 11300,2968 County Road 11300,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,680  Sqft. ($119/Sqft.)', '2  full baths', '0.5   Acres', '1  story', '1990  year built']",[]
,,"$566,069",2453 Yosemite Way,2453 Yosemite Way,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,124  Sqft. ($181/Sqft.)', '3 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$959,000",Lots 2-17 Rio Paluxy SW Barnard St,Lots 2-17 Rio Paluxy SW Barnard St,"
                    For Sale, Land / Unimproved Land",['5.3   Acres'],[]
,,"$749,900",112 Sparrow Hawk Tr,112 Sparrow Hawk Tr,"
                    For Sale, Single-Family","['4  bedrooms', '2,846  Sqft. ($263/Sqft.)', '3  full baths', '1  story']",[]
,,"$508,990",2501 Amistad Ln,2501 Amistad Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,278  Sqft. ($223/Sqft.)', '3  full baths', '0.1   Acres', '1  story', '2023  year built']",[]
,,"$359,999",833 Isom Rd,833 Isom Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,835  Sqft. ($196/Sqft.)', '2  full baths', '1.7   Acres', '1  story', '1998  year built']",[]
,,"$399,900",843 MAROON ST,843 MAROON ST,"
                    For Sale, Single-Family","['3  bedrooms', '2,054  Sqft. ($195/Sqft.)', '2  full baths', '1  story']",[]
,,"$299,500",634 St Paul Dr,634 St Paul Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,798  Sqft. ($167/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '1976  year built']",[]
,,"$410,000",209 Grassy Creek Dr,209 Grassy Creek Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,386  Sqft. ($172/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2000  year built']",[]
,,"$435,575",2604 Gateway Ave,2604 Gateway Ave,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,203  Sqft. ($198/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$800,000",5711 W Interstate 30,5711 W Interstate 30,"
                    For Sale, Country Homes/Acreage",['10   Acres'],[]
,,"$350,000",3936 Kimballdale Dr,3936 Kimballdale Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,728  Sqft. ($203/Sqft.)', '2 full & 1  half baths', '0.3   Acres', '1  story', '1965  year built']",[]
,,"$434,163",2656 Gateway Ave,2656 Gateway Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,472  Sqft. ($176/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$89,900",806 Barber Ave,806 Barber Ave,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,022  Sqft. ($88/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1890  year built']",[]
,,"$335,000",1019 E Drexel Ave,1019 E Drexel Ave,"
                    For Sale, Single-Family","['4  bedrooms', '1,436  Sqft. ($233/Sqft.)', '2 full & 1  half baths', '1  story']",[]
,,"$599,900",147 FCR 949,147 FCR 949,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,693  Sqft. ($223/Sqft.)', '2  full baths', '12.3   Acres', '1  story', '2008  year built']",[]
,,"$375,000",10817 Irish Glen Trl,10817 Irish Glen Trl,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,557  Sqft. ($147/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2006  year built']",[]
,,"$554,900",3901 Oak Park Dr,3901 Oak Park Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,900  Sqft. ($191/Sqft.)', '3  full baths', '0.2   Acres', '2  stories', '1996  year built']",[]
,,"$434,145",2605 Acadia Dr,2605 Acadia Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,392  Sqft. ($182/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$199,900",1415 Presidio Ave,1415 Presidio Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,170  Sqft. ($171/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1935  year built']",[]
,,"$246,900",3144 Gordon Ave,3144 Gordon Ave,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,054  Sqft. ($234/Sqft.)', '1  full baths', '0.1   Acres', '1  story', '1956  year built']",[]
,,"$432,195",2621 Acadia Dr,2621 Acadia Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,472  Sqft. ($175/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$431,837",2704 Gateway Ave,2704 Gateway Ave,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,392  Sqft. ($181/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$249,000",9323 WHISPER PT,9323 WHISPER PT,"
                    For Sale, Single-Family","['2  bedrooms', '1,023  Sqft. ($243/Sqft.)', '2  full baths', '2  stories']",[]
,,"$190,000",2629 Jennings Ave,2629 Jennings Ave,"
                    For Sale, Residential - Single Family","['2  bedrooms', '804  Sqft. ($236/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1949  year built']",[]
,,"$429,183",2609 Acadia Dr,2609 Acadia Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,472  Sqft. ($174/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$299,900",794 WOLFETON WAY,794 WOLFETON WAY,"
                    For Sale, Single-Family","['3  bedrooms', '1,700  Sqft. ($176/Sqft.)', '2  full baths', '1  story']",[]
,,"$429,132",2612 Gateway Ave,2612 Gateway Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,472  Sqft. ($174/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$210,000",5930 HIDDEN GLADE,5930 HIDDEN GLADE,"
                    For Sale, Single-Family","['3  bedrooms', '1,214  Sqft. ($173/Sqft.)', '2  full baths', '1  story']",[]
,,"$700,000",128 LAKESIDE DR,128 LAKESIDE DR,"
                    For Sale, Single-Family","['3  bedrooms', '2,500  Sqft. ($280/Sqft.)', '3  full baths']",[]
,,"$428,494",2648 Gateway Ave,2648 Gateway Ave,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,392  Sqft. ($179/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$425,506",2617 Acadia Dr,2617 Acadia Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,392  Sqft. ($178/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$369,000",307 W Rio Grande St,307 W Rio Grande St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,050  Sqft. ($180/Sqft.)', '2  full baths', '0.3   Acres', '2  stories', '1959  year built']",[]
,,"$345,900",2011 Diamondback,2011 Diamondback,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,120  Sqft. ($163/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2014  year built']",[]
,,"$304,950",8906 HICKMAN PARK,8906 HICKMAN PARK,"
                    For Sale, Single-Family","['4  bedrooms', '1,700  Sqft. ($179/Sqft.)', '2  full baths', '1  story']",[]
,,"$365,000",9228 Beckley View Ave,9228 Beckley View Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,618  Sqft. ($226/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2023  year built']",[]
,,"$310,000",902 N Commerce St,902 N Commerce St,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,639  Sqft. ($189/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1940  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430758363/lr/1.jpeg');,,"$389,269",2613 Acadia Dr,2613 Acadia Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,882  Sqft. ($207/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430829256/lr/1.jpeg');,,"$434,900",1294 Stanford Dr,1294 Stanford Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,091  Sqft. ($208/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2004  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430687703/lr/1.jpeg');,,"$385,000",3225 Turtle Creek Blvd #246,3225 Turtle Creek Blvd #246,"
                    For Sale, Residential - Condo","['2  bedrooms', '1,154  Sqft. ($334/Sqft.)', '2  full baths', '3.5   Acres', '1  story', 'Private Pool', '1998  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430915640/lr/1.jpeg');,,"$300,000",200 Sonora Ln,200 Sonora Ln,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,524  Sqft. ($197/Sqft.)', '2  full baths', '0.5   Acres', '1  story', '1999  year built']",[]
background-image:url('https://photos.harstatic.com/277075610/lr/img-1.jpeg?ts=2023-08-25T18:21:44.840');,,"$365,000",518 PRUITT AVE,518 PRUITT AVE,"
                    For Sale, Single-Family","['3  bedrooms', '1,664  Sqft. ($219/Sqft.)', '2  full baths', '2  stories']",[]
background-image:url('https://photos.harstatic.com/277075609/lr/img-1.jpeg?ts=2023-08-25T18:21:44.840');,,"$469,000",7535 Old Campbellton Rd,7535 Old Campbellton Rd,"
                    For Sale, Single-Family","['4  bedrooms', '2,000  Sqft. ($235/Sqft.)', '4  full baths', '1  story']",[]
background-image:url('https://listingmedia7.harstatic.com/430915316/lr/1.jpeg');,,"$220,000",2547 Melbourne Ave,2547 Melbourne Ave,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,386  Sqft. ($159/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1952  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430651550/lr/1.jpeg');,,"$504,076",1408 Birchwood Ln,1408 Birchwood Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,887  Sqft. ($175/Sqft.)', '2 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
background-image:url('https://photos.harstatic.com/277075608/lr/img-1.jpeg?ts=2023-08-25T18:21:44.840');,,"$274,999",8422 Blackstone Cove,8422 Blackstone Cove,"
                    For Sale, Single-Family","['3  bedrooms', '1,754  Sqft. ($157/Sqft.)', '2  full baths', '1  story']",[]
